,price,mileage,oneowner,is_gas,is_diesel,is_electric,age,is_auto,is_cvt,is_manual,engine_L,is_PDI,is_GDI,is_MPFI,is_DOHC,engine_V_12V,engine_V_16V,engine_V_24V,engine_V_32V,engine_V_48V,engine_V_Others,drivetrain_2,drivetrain_4,drivetrain_Others,population,make_Acura,make_Alfa,make_Aston,make_Audi,make_BMW,make_Bentley,make_Buick,make_Cadillac,make_Chevrolet,make_Chrysler,make_Dodge,make_Ferrari,make_Ford,make_GMC,make_Genesis,make_Honda,make_Hyundai,make_INFINITI,make_Jaguar,make_Jeep,make_Kia,make_Lamborghini,make_Land,make_Lexus,make_Lincoln,make_Lotus,make_MINI,make_Maserati,make_Mazda,make_McLaren,make_Mercedes-Benz,make_Mercury,make_Mitsubishi,make_Nissan,make_Plymouth,make_Pontiac,make_Porsche,make_RAM,make_Rolls-Royce,make_Saturn,make_Scion,make_Subaru,make_Suzuki,make_Tesla,make_Toyota,make_Volkswagen,make_Volvo,make_smart
741,30499.0,19389,1,1,0,0,2,1,1,0,2.5,0,1,0,1,0,1,0,0,0,0,1,0,0,45336.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1771,51674.0,17868,3,1,0,0,1,1,0,0,5.7,0,0,1,0,0,1,0,0,0,0,1,0,0,50365.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1888,39900.0,43247,0,1,0,0,6,1,0,0,3.0,0,1,0,1,0,0,1,0,0,0,1,0,0,14995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
870,49000.0,57208,0,1,0,0,4,1,0,0,6.2,0,1,0,0,0,1,0,0,0,0,0,1,0,31793.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,34998.0,44182,1,1,0,0,3,1,0,0,2.0,0,1,0,1,0,1,0,0,0,0,1,0,0,19071.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,69007.0,11422,1,1,0,0,1,1,0,0,5.3,0,1,0,0,0,1,0,0,0,0,1,0,0,10700.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,13994.0,67914,1,1,0,0,6,1,0,0,3.2,0,0,1,1,0,0,1,0,0,0,1,0,0,12161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,249996.0,21095,0,1,0,0,2,1,0,0,4.0,0,1,0,1,0,0,0,1,0,0,1,0,0,11315.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,52347.0,33770,1,1,0,0,2,1,0,0,3.0,0,1,0,1,0,0,1,0,0,0,1,0,0,44300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,32967.0,23013,0,1,0,0,7,1,0,0,3.0,0,1,0,1,0,0,1,0,0,0,0,1,0,27693.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,30500.0,46032,0,1,0,0,3,1,1,0,1.5,0,1,0,1,0,1,0,0,0,0,1,0,0,29357.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,19980.0,48258,0,1,0,0,8,1,0,0,2.0,0,1,0,1,0,1,0,0,0,0,1,0,0,36256.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
